Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Lauren Cohen,M,SBD,Raw,42.5,40-44,40-49,Masters 1,81.73,83,220,-245,266,,266,-135,140,150,,150,242.5,255,267.5,,267.5,683.5,1,465.48,460.48,443.26,95.36,Yes,USA,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Jonathan Losa,M,SBD,Raw,40,40-44,40-49,Masters 1,82.7,83,220,235,-245,,235,180,190,196,,196,227.5,240,252.5,,252.5,683.5,2,462.36,457.22,439.89,94.79,Yes,USA,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Danny Potter,M,SBD,Raw,41,40-44,40-49,Masters 1,82.2,83,205,222.5,227.5,,227.5,152.5,165,-170,,165,220,240,245,,245,637.5,3,432.73,428.00,411.89,88.68,Yes,England,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Mark Fulton,M,SBD,Raw,40.5,40-44,40-49,Masters 1,82.64,83,210,220,225,,225,137.5,-140,-140,,137.5,250,260,270,,270,632.5,4,428.04,423.29,407.25,87.75,Yes,Scotland,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Eduardo de Assis,M,SBD,Raw,41.5,40-44,40-49,Masters 1,82.04,83,207.5,217.5,222.5,,222.5,120,-130,-130,,120,220,235,252.5,,252.5,595,5,404.33,399.94,384.92,82.85,Yes,Brazil,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Patrick Rodrigue,M,SBD,Raw,43.5,40-44,40-49,Masters 1,82.2,83,-195,195,205,,205,112.5,117.5,-122.5,,117.5,235,245,255,,255,577.5,6,392.00,387.72,373.12,80.33,Yes,Canada,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Emile Tahi,M,SBD,Raw,43,40-44,40-49,Masters 1,82.02,83,167.5,175,182.5,,182.5,140,-147.5,147.5,,147.5,222.5,235,-245,,235,565,7,384.00,379.83,365.57,78.68,Yes,France,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Layne Norton,M,SBD,Raw,40.5,40-44,40-49,Masters 1,92,93,245,260,272.5,,272.5,152.5,162.5,-167.5,,162.5,287.5,307.5,-325.5,,307.5,742.5,1,474.90,468.86,448.94,97.65,Yes,USA,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Gabriel García Corona,M,SBD,Raw,46.5,45-49,40-49,Masters 1,92.7,93,280,-290,-290,,280,165,-172.5,172.5,,172.5,275,290,-300,,290,742.5,2,473.15,467.15,447.17,97.29,Yes,Mexico,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Sébastien Hupfer,M,SBD,Raw,41,40-44,40-49,Masters 1,91.66,93,-240,240,-260,,240,160,-167.5,167.5,,167.5,250,270,-282.5,,270,677.5,3,434.11,428.59,410.44,89.26,Yes,France,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Hideki Ito,M,SBD,Raw,45.5,45-49,40-49,Masters 1,92.5,93,230,245,252.5,,252.5,155,165,-170,,165,230,245,255,,255,672.5,4,428.99,423.55,405.46,88.21,Yes,Japan,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Mark Dowling #1,M,SBD,Raw,41.5,40-44,40-49,Masters 1,86.58,93,217.5,232.5,240,,240,117.5,125,127.5,,127.5,257.5,270,282.5,,282.5,650,5,428.80,423.54,406.63,88.09,Yes,Ireland,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Jamie Emberley,M,SBD,Raw,41.5,40-44,40-49,Masters 1,92.82,93,225,235,240,,240,145,152.5,155,,155,240,250,-260,,250,645,6,410.76,405.56,388.19,84.46,Yes,Canada,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Michele Tegon,M,SBD,Raw,46,45-49,40-49,Masters 1,91.92,93,227.5,235,-245,,235,145,150,-152.5,,150,232.5,245,252.5,,252.5,637.5,7,407.91,402.72,385.63,83.88,Yes,England,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Benedikt Björnsson,M,SBD,Raw,43.5,40-44,40-49,Masters 1,92.3,93,210,-230,230,,230,130,-150,-150,,130,230,250,255,,255,615,8,392.73,387.74,371.21,80.75,Yes,Iceland,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Tom Kean,M,SBD,Raw,49.5,45-49,50-59,Masters 2,82.42,83,230,245.5,248,,248,140,150,-160,,150,227.5,245,252.5,,252.5,650.5,1,440.89,436.03,419.56,90.37,Yes,Canada,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Ken Bray,M,SBD,Raw,53,50-54,50-59,Masters 2,78.9,83,207.5,-225,-225,,207.5,130,135,-137.5,,135,275,-287.5,-287.5,,275,617.5,2,429.32,425.30,410.04,87.71,Yes,USA,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Kevin Steiger,M,SBD,Raw,49.5,45-49,50-59,Masters 2,81.34,83,-185,185,192.5,,192.5,110,115,120,,120,235,250,260,,260,572.5,3,390.96,386.83,372.44,80.06,Yes,Canada,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
George Millar,M,SBD,Raw,53.5,50-54,50-59,Masters 2,81.76,83,195,205,210,,210,110,115,-117.5,,115,230,245,-257.5,,245,570,4,388.10,383.93,369.57,79.51,Yes,UK,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Mario Hernandez,M,SBD,Raw,53.5,50-54,50-59,Masters 2,81.64,83,165,175,-182.5,,175,105,115,-122.5,,115,190,210,-217.5,,210,500,5,340.73,337.08,324.49,69.79,Yes,Mexico,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Jeff Butt,M,SBD,Raw,52,50-54,50-59,Masters 2,92.68,93,240,247.5,252.5,,252.5,142.5,147.5,-150,,147.5,260,272.5,282.5,,282.5,682.5,1,434.96,429.44,411.08,89.44,Yes,Canada,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Alejandro Rodríguez Acuña,M,SBD,Raw,53.5,50-54,50-59,Masters 2,92.52,93,240,250,-260,,250,150,157.5,162.5,,162.5,247.5,257.5,-267.5,,257.5,670,2,427.35,421.93,403.91,87.87,Yes,Spain,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Edward Ruland,M,SBD,Raw,50,50-54,50-59,Masters 2,91.22,93,212.5,227.5,,,227.5,157.5,170,-175,,170,245,-260,-260,,245,642.5,3,412.66,407.41,390.24,84.85,Yes,USA,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Wallace Clarke,M,SBD,Raw,52.5,50-54,50-59,Masters 2,91.12,93,220,-230,230,,230,145,150,-155,,150,250,-265,-265,,250,630,4,404.85,399.70,382.87,83.25,Yes,N.Ireland,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
John Cadigan,M,SBD,Raw,49.5,45-49,50-59,Masters 2,91.76,93,-222.5,222.5,232.5,,232.5,122.5,125,-127.5,,125,222.5,232.5,-240,,232.5,590,5,377.84,373.03,357.22,77.69,Yes,Canada,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Hamid Jamal #2,M,SBD,Raw,51,50-54,50-59,Masters 2,91.88,93,-170,170,-177.5,,170,125,130,132.5,,132.5,190,200,,,200,502.5,6,321.60,317.51,304.04,66.13,Yes,Morocco,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Robert Rodney,M,SBD,Raw,58,55-59,50-59,Masters 2,90.78,93,205,215,-220,,215,-150,-150,-150,,-150,,,,,,,DQ,,,,,Yes,England,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Willie Wong #1,M,SBD,Raw,60.5,60-64,60-69,Masters 3,82.72,83,-200,200,210,,210,105,107.5,110,,110,205,215,222.5,,222.5,542.5,1,366.93,362.85,349.09,75.22,Yes,USA,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Stephen Varady,M,SBD,Raw,60,60-64,60-69,Masters 3,81.72,83,152.5,165,172.5,,172.5,132.5,142.5,-145,,142.5,190,205,-220,,205,520,2,354.16,350.36,337.26,72.55,Yes,Australia,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
James Abraham,M,SBD,Raw,60.5,60-64,60-69,Masters 3,82.62,83,165,170,175,,175,112.5,-117.5,-117.5,,112.5,200,205,210,,210,497.5,3,336.73,332.99,320.38,69.03,Yes,Canada,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Masayasu Oyagi,M,SBD,Raw,60.5,60-64,60-69,Masters 3,79.5,83,-160,-160,160,,160,100,-105,-105,,100,200,205,-210,,205,465,4,321.83,318.72,307.18,65.79,Yes,Japan,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Erik Rasmussen,M,SBD,Raw,59.5,55-59,60-69,Masters 3,82.64,83,170,175,177.5,,177.5,120,125,-127.5,,125,160,-165,,,160,462.5,5,312.99,309.52,297.79,64.16,Yes,Denmark,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Kazuyoshi Araishi,M,SBD,Raw,63.5,60-64,60-69,Masters 3,81.12,83,100,110,120,,120,-90,90,95,,95,160,170,-175,,170,385,6,263.33,260.57,250.91,53.92,Yes,Japan,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Régis Gautier,M,SBD,Raw,65.5,65-69,60-69,Masters 3,82.02,83,-140,-140,-140,,-140,85,87.5,90,,90,210,217.5,-222.5,,217.5,,DQ,,,,,Yes,France,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
John Fraser,M,SBD,Raw,65.5,65-69,60-69,Masters 3,82.86,83,-145,-145,-145,,-145,122.5,125,127.5,,127.5,200,-207.5,-207.5,,200,,DQ,,,,,Yes,Canada,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
David Ricks,M,SBD,Raw,63,60-64,60-69,Masters 3,92.46,93,-282.5,282.5,-305.5,,282.5,180,192.5,205.5,,205.5,255,288,-310.5,,288,776,1,495.12,488.83,467.97,101.81,Yes,US Virgin Islands,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Glen Cormier,M,SBD,Raw,64.5,60-64,60-69,Masters 3,89.7,93,205,210,-215,,210,127.5,135,140,,140,205,212.5,217.5,,217.5,567.5,2,367.56,362.91,347.86,75.57,Yes,Canada,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Morten Rygh,M,SBD,Raw,63.5,60-64,60-69,Masters 3,91.18,93,140,-160,160,,160,87.5,92.5,-97.5,,92.5,170,190,-212.5,,190,442.5,3,284.27,280.65,268.82,58.45,Yes,Norway,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Akira Andoh,M,SBD,Raw,61.5,60-64,60-69,Masters 3,88.92,93,-180,-180,-180,,-180,120,-125,-125,,120,200,210,-220,,210,,DQ,,,,,Yes,Japan,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
John LaFlamme,M,SBD,Raw,71,70-74,70-999,Masters 4,82.1,83,175,182.5,190,,190,95,100,105,,105,215,225,-227.5,,225,520,1,353.22,349.37,336.24,72.38,Yes,US Virgin Islands,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Ron Delaney,M,SBD,Raw,70.5,70-74,70-999,Masters 4,84,93,142.5,-150,155,,155,95,100,-102.5,,100,200,212.5,220,,220,475,1,318.53,314.84,302.69,65.36,Yes,Canada,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
John Alderman #2,M,SBD,Raw,73.5,70-74,70-999,Masters 4,84.86,93,120,-127.5,-127.5,,120,105,-110,110,,110,150,-160,-160,,150,380,2,253.40,250.40,240.63,52.02,Yes,USA,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Tapani Puhakka,M,SBD,Raw,77.5,75-79,70-999,Masters 4,87.76,93,65,-75,,,65,75,82.5,-85,,82.5,140,-152.5,155,,155,302.5,3,198.14,195.67,187.74,40.72,Yes,Finland,,IPF,IPF,2022-10-08,Canada,NL,St. John's,World Masters Classic & Equipped Powerlifting Championships,Yes
Alexander Wei Rui Ang,M,SBD,Raw,23,20-23,19-23,Juniors,92,93,270,282.5,287.5,,287.5,162.5,167.5,170,,170,315,-335,-345,,315,772.5,8,494.09,487.80,467.08,101.59,Yes,Singapore,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Ewan Belgrove,M,SBD,Raw,23,20-23,19-23,Juniors,82.26,83,-300,-300,-300,,,170,-180,-180,,170,260,-280,-280,,260,,DQ,,,,,Yes,Australia,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Andrei Petcu,M,SBD,Raw,23,20-23,19-23,Juniors,82.15,83,-230,230,240,,240,155,160,-165,,160,255,275,-285,,275,675,14,458.35,453.34,436.29,93.93,Yes,Romania,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
James Low,M,SBD,Raw,22.5,20-23,19-23,Juniors,91.16,93,265,280,287.5,,287.5,175,185,190,,190,250,270,-277.5,,270,747.5,15,480.26,474.14,454.17,98.75,Yes,Canada,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Raphi Leong,M,SBD,Raw,23,20-23,19-23,Juniors,82.62,83,210,220,225,,225,137.5,142.5,145,,145,272.5,280,-287.5,,280,650,22,439.94,435.06,418.59,90.19,Yes,Thailand,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Simen Johnson Myrvold,M,SBD,Raw,23,20-23,19-23,Juniors,83,83,225,232.5,,,232.5,185,197.5,-202.5,,197.5,225,,,,225,655,21,442.18,437.21,420.57,90.67,Yes,Norway,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Mario Montaño Camacho,M,SBD,Raw,22.5,20-23,19-23,Juniors,92.32,93,250,265,272.5,,272.5,180,187.5,-192.5,,187.5,277.5,290,300,,300,760,11,485.27,479.10,458.68,99.78,Yes,Spain,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Matt Trainor,M,SBD,Raw,23,20-23,19-23,Juniors,82.75,83,247.5,-260,260,,260,165,172.5,177.5,,177.5,75,185,227.5,,227.5,665,16,449.70,444.68,427.81,92.19,Yes,New Zealand,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Woei Jin Seah,M,SBD,Raw,23,20-23,19-23,Juniors,92.06,93,235,247.5,-260,,247.5,167.5,177.5,180,,180,275,-287.5,-287.5,,275,702.5,20,449.17,443.46,424.61,92.36,Yes,Singapore,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Shane Nutt,M,SBD,Raw,22.5,20-23,19-23,Juniors,92.02,93,275,290,-300,,290,165,170,-175,,170,305,-325,-345,,305,765,9,489.24,483.01,462.49,100.60,Yes,USA,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
John Wortel,M,SBD,Raw,22.5,20-23,19-23,Juniors,92.56,93,265,-275,-275,,265,175,-180,185,,185,280,-292.5,-292.5,,280,730,16,465.53,459.62,439.98,95.72,Yes,Netherlands,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Peyton Johnson #1,M,SBD,Raw,23,20-23,19-23,Juniors,91.5,93,275,282.5,-287.5,,282.5,165,167.5,-170,,167.5,327.5,340,-352.5,,340,790,6,506.63,500.18,479.04,104.17,Yes,USA,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Joachim Smet,M,SBD,Raw,22.5,20-23,19-23,Juniors,82.7,83,212.5,220,225,,225,137.5,142.5,-145,,142.5,245,260,267.5,,267.5,635,25,429.56,424.78,408.67,88.06,Yes,Belgium,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Jean-Philippe Haid,M,SBD,Raw,23,20-23,19-23,Juniors,90.2,93,220,227.5,232.5,,232.5,130,-135,-135,,130,260,272.5,-280,,272.5,635,25,410.13,404.92,388.04,84.33,Yes,Belgium,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Dániel László Molnár,M,SBD,Raw,22.5,20-23,19-23,Juniors,82.32,83,215,225,235,,235,152.5,160,165,,165,240,260,270,,270,670,15,454.42,449.43,432.48,93.13,Yes,Hungary,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Connor Heim,M,SBD,Raw,23,20-23,19-23,Juniors,82.45,83,240,250,260,,260,165,172.5,175,,175,297.5,-315,-330,,297.5,732.5,5,496.36,490.88,472.34,101.74,Yes,USA,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Yulong Li #1,M,SBD,Raw,23,20-23,19-23,Juniors,90.1,93,282.5,290,297.5,,297.5,177.5,185,190,,190,300,-315,-315,,300,787.5,7,508.91,502.45,481.53,104.63,Yes,Sweden,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Jonathan Celis,M,SBD,Raw,23,20-23,19-23,Juniors,91.9,93,275,285,-292.5,,285,180,187.5,-190,,187.5,275,285,-290,,285,757.5,13,484.75,478.58,458.27,99.68,Yes,Belgium,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Matthew Kearney,M,SBD,Raw,22.5,20-23,19-23,Juniors,82.4,83,245,255,-262.5,,255,170,-180,-180,,170,280,-300,-315,,280,705,12,477.89,472.63,454.79,97.95,Yes,Canada,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Tomáš Martynek,M,SBD,Raw,22.5,20-23,19-23,Juniors,92.34,93,227.5,-242.5,242.5,,242.5,160,167.5,-172.5,,167.5,250,275,-285,,275,685,22,437.33,431.78,413.37,89.92,Yes,Czechia,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Erlend Kristensen,M,SBD,Raw,23,20-23,19-23,Juniors,91.56,93,75,,,,75,167.5,175,-177.5,,175,275,290,-305,,290,540,28,346.19,341.79,327.33,71.18,Yes,Norway,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Matt Silvey,M,SBD,Raw,22.5,20-23,19-23,Juniors,92.52,93,265,-275,275,,275,165,170,-172.5,,170,-317.5,317.5,-342.5,,317.5,762.5,10,486.35,480.18,459.67,100.00,Yes,New Zealand,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Karel Rada #2,M,SBD,Raw,21.5,20-23,19-23,Juniors,82.85,83,237.5,-245,-245,,237.5,140,-145,145,,145,260,-280,-282.5,,260,642.5,24,434.19,429.33,413.02,89.02,Yes,Czechia,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Diego López-Dóriga Zubeldía,M,SBD,Raw,21.5,20-23,19-23,Juniors,82.26,83,230,242.5,-250,,242.5,-120,120,130,,130,75,,,,75,447.5,27,303.63,300.31,288.99,62.23,Yes,Spain,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Elias Hanken Fiskerstrand,M,SBD,Raw,21.5,20-23,19-23,Juniors,82.5,83,240,250,255,,255,-160,-160,160,,160,270,290,307.5,,307.5,722.5,10,489.42,484.01,465.71,100.32,Yes,Norway,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Adam McAlpine,M,SBD,Raw,22,20-23,19-23,Juniors,82.7,83,232.5,240,-245,,240,157.5,165,-170,,165,245,-255,255,,255,660,20,446.47,441.50,424.76,91.53,Yes,Ireland,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Semih Aygün,M,SBD,Raw,21.5,20-23,19-23,Juniors,92.56,93,260,277.5,285,,285,175,182.5,190,,190,290,307.5,327.5,,327.5,802.5,4,511.76,505.26,483.68,105.23,Yes,Germany,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Thomas Czaplicki,M,SBD,Raw,21,20-23,19-23,Juniors,82.8,83,252.5,267.5,272.5,,272.5,157.5,165,-170,,165,295,-310,-310,,295,732.5,6,495.17,489.64,471.06,101.52,Yes,France,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Calum O'Mahony,M,SBD,Raw,21.5,20-23,19-23,Juniors,82.9,83,-247.5,257.5,267.5,,267.5,147.5,-152.5,-152.5,,147.5,275,290,-302.5,,290,705,13,476.26,470.92,453.02,97.65,Yes,Ireland,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Sean Isomura-Gillard,M,SBD,Raw,21.5,20-23,19-23,Juniors,92.54,93,225,237.5,245,,245,170,177.5,182.5,,182.5,270,285,-295,,285,712.5,18,454.41,448.65,429.48,93.44,Yes,Thailand,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Gabriele Bellomo,M,SBD,Raw,20.5,20-23,19-23,Juniors,82.76,83,245,260,270,,270,155,162.5,167.5,,167.5,290,305,315,,315,752.5,3,508.83,503.16,484.07,104.32,Yes,Italy,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Tomáš Votava,M,SBD,Raw,20.5,20-23,19-23,Juniors,82.16,83,235,-242.5,242.5,,242.5,155,162.5,-165,,162.5,250,257.5,-265,,257.5,662.5,17,449.83,444.92,428.18,92.18,Yes,Czechia,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
András Gerlai,M,SBD,Raw,20.5,20-23,19-23,Juniors,89.48,93,230,240,250,,250,155,162.5,170,,170,250,265,-280,,265,685,21,444.22,438.60,420.46,91.33,Yes,Hungary,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Mani Helgason,M,SBD,Raw,20.5,20-23,19-23,Juniors,82.46,83,210,225,230,,230,147.5,155,-160,,155,250,267.5,277.5,,277.5,662.5,18,448.90,443.94,427.17,92.01,Yes,Iceland,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Pablo Sánchez Urriza,M,SBD,Raw,20.5,20-23,19-23,Juniors,83,83,245,260,262.5,,262.5,130,137.5,-140,,137.5,300,317.5,332.5,,332.5,732.5,7,494.50,488.94,470.33,101.40,Yes,Spain,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Kasimir Portin,M,SBD,Raw,20.5,20-23,19-23,Juniors,89.66,93,205,215,225,,225,140,150,155,,155,245,260,-270,,260,640,24,414.62,409.36,392.40,85.24,Yes,Finland,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Alex Sydor,M,SBD,Raw,20,20-23,19-23,Juniors,83,83,255,270,282.5,,282.5,150,157.5,-162.5,,157.5,287.5,-302.5,-305,,287.5,727.5,9,491.13,485.61,467.12,100.71,Yes,USA,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Vadim Vostrov,M,SBD,Raw,19.5,20-23,19-23,Juniors,82,83,-230,-230,230,,230,155,-162.5,162.5,,162.5,-255,255,-267.5,,255,647.5,23,440.13,435.35,419.01,90.18,Yes,Kazakhstan,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Nigel Ng,M,SBD,Raw,19.5,20-23,19-23,Juniors,82.46,83,230,245,255,,255,160,167.5,-170,,167.5,260,275,287.5,,287.5,710,11,481.08,475.77,457.80,98.61,Yes,Singapore,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Zachariah Cummings,M,SBD,Raw,18.5,18-19,19-23,Juniors,82.66,83,235,245,252.5,,252.5,140,-145,145,,145,245,257.5,265,,265,662.5,19,448.28,443.30,426.50,91.90,Yes,New Zealand,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Mostafa Zahran,M,SBD,Raw,18.5,18-19,19-23,Juniors,92.62,93,212.5,217.5,-230,,217.5,135,137.5,-140,,137.5,222.5,237.5,245,,245,600,27,382.51,377.65,361.51,78.65,Yes,Egypt,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Kenji Borremans,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,92.8,93,225,235,-240,,235,157.5,-162.5,-162.5,,157.5,235,-247.5,-247.5,,235,627.5,8,399.66,394.59,377.70,82.18,Yes,Belgium,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
